GRIDCODE,CVENTMUN,Fc
8673,12001,0.5
8674,12001,0.5
9460,07101,1
10123,20067,1
17230,27003,1
17859,17007,1
18577,21114,1
18866,06002,0.5
19218,06002,0.5
19282,29032,1
19619,15106,1
19625,09003,1
19977,09010,1
19978,09017,1
20331,09005,1
21012,16053,1
22805,13048,1
22830,30192,1
23607,04002,1
24905,22014,1
25224,14039,1
26660,11015,1
26799,31049,1
28736,18017,0.333
28737,18017,0.334
29089,18017,0.333
29500,24027,1
30531,01001,1
30708,23005,1
31937,32055,1
36563,28031,1
38920,03003,0.333
39683,10005,1
41778,25005,1
42434,03003,0.334
43136,03003,0.333
44664,05030,1
47144,19039,1
47171,28040,1
59790,08019,1
61871,26009,1
79092,02004,1
79460,02002,1
